DC,Date,Demand,Opening_Inventory,End_Inventory,Inventory_Position,Reorder_Point,Order_Placed_Qty,Order_Received_Qty
DC1,2025-05-06,59,289.0,230.0,230.0,122.0,0.0,0.0
DC1,2025-05-07,71,230.0,159.0,159.0,122.0,0.0,0.0
DC1,2025-05-08,50,159.0,109.0,109.0,122.0,167.0,0.0
DC1,2025-05-09,64,109.0,45.0,212.0,122.0,0.0,0.0
DC1,2025-05-10,52,212.0,160.0,160.0,122.0,0.0,167.0
DC1,2025-05-11,51,160.0,109.0,109.0,122.0,167.0,0.0
DC1,2025-05-12,48,109.0,61.0,228.0,122.0,0.0,0.0
DC1,2025-05-13,74,228.0,154.0,154.0,122.0,0.0,167.0
DC1,2025-05-14,53,154.0,101.0,101.0,122.0,167.0,0.0
DC1,2025-05-15,48,101.0,53.0,220.0,122.0,0.0,0.0
DC10,2025-05-06,52,263.0,211.0,211.0,106.0,0.0,0.0
DC10,2025-05-07,43,211.0,168.0,168.0,106.0,0.0,0.0
DC10,2025-05-08,37,168.0,131.0,131.0,106.0,0.0,0.0
DC10,2025-05-09,50,131.0,81.0,81.0,106.0,157.0,0.0
DC10,2025-05-10,59,81.0,22.0,179.0,106.0,0.0,0.0
DC10,2025-05-11,51,179.0,128.0,128.0,106.0,0.0,157.0
DC10,2025-05-12,59,128.0,69.0,69.0,106.0,157.0,0.0
DC10,2025-05-13,48,69.0,21.0,178.0,106.0,0.0,0.0
DC10,2025-05-14,56,178.0,122.0,122.0,106.0,0.0,157.0
DC10,2025-05-15,47,122.0,75.0,75.0,106.0,157.0,0.0
DC11,2025-05-06,39,248.0,209.0,209.0,99.0,0.0,0.0
DC11,2025-05-07,55,209.0,154.0,154.0,99.0,0.0,0.0
DC11,2025-05-08,34,154.0,120.0,120.0,99.0,0.0,0.0
DC11,2025-05-09,43,120.0,77.0,77.0,99.0,149.0,0.0
DC11,2025-05-10,53,77.0,24.0,173.0,99.0,0.0,0.0
DC11,2025-05-11,60,173.0,113.0,113.0,99.0,0.0,149.0
DC11,2025-05-12,54,113.0,59.0,59.0,99.0,149.0,0.0
DC11,2025-05-13,33,59.0,26.0,175.0,99.0,0.0,0.0
DC11,2025-05-14,52,175.0,123.0,123.0,99.0,0.0,149.0
DC11,2025-05-15,32,123.0,91.0,91.0,99.0,149.0,0.0
DC12,2025-05-06,32,242.0,210.0,210.0,95.0,0.0,0.0
DC12,2025-05-07,41,210.0,169.0,169.0,95.0,0.0,0.0
DC12,2025-05-08,37,169.0,132.0,132.0,95.0,0.0,0.0
DC12,2025-05-09,43,132.0,89.0,89.0,95.0,147.0,0.0
DC12,2025-05-10,57,89.0,32.0,179.0,95.0,0.0,0.0
DC12,2025-05-11,47,179.0,132.0,132.0,95.0,0.0,147.0
DC12,2025-05-12,36,132.0,96.0,96.0,95.0,0.0,0.0
DC12,2025-05-13,58,96.0,38.0,38.0,95.0,147.0,0.0
DC12,2025-05-14,52,38.0,-14.0,133.0,95.0,0.0,0.0
DC12,2025-05-15,36,133.0,97.0,97.0,95.0,0.0,147.0
DC13,2025-05-06,83,323.0,240.0,240.0,142.0,0.0,0.0
DC13,2025-05-07,62,240.0,178.0,178.0,142.0,0.0,0.0
DC13,2025-05-08,54,178.0,124.0,124.0,142.0,181.0,0.0
DC13,2025-05-09,56,124.0,68.0,249.0,142.0,0.0,0.0
DC13,2025-05-10,66,249.0,183.0,183.0,142.0,0.0,181.0
DC13,2025-05-11,78,183.0,105.0,105.0,142.0,181.0,0.0
DC13,2025-05-12,71,105.0,34.0,215.0,142.0,0.0,0.0
DC13,2025-05-13,59,215.0,156.0,156.0,142.0,0.0,181.0
DC13,2025-05-14,76,156.0,80.0,80.0,142.0,181.0,0.0
DC13,2025-05-15,64,80.0,16.0,197.0,142.0,0.0,0.0
DC14,2025-05-06,45,188.0,143.0,143.0,67.0,0.0,0.0
DC14,2025-05-07,27,143.0,116.0,116.0,67.0,0.0,0.0
DC14,2025-05-08,20,116.0,96.0,96.0,67.0,0.0,0.0
DC14,2025-05-09,21,96.0,75.0,75.0,67.0,0.0,0.0
DC14,2025-05-10,37,75.0,38.0,38.0,67.0,121.0,0.0
DC14,2025-05-11,44,38.0,-6.0,115.0,67.0,0.0,0.0
DC14,2025-05-12,30,115.0,85.0,85.0,67.0,0.0,121.0
DC14,2025-05-13,32,85.0,53.0,53.0,67.0,121.0,0.0
