scenario_id,radius_km,client_tw_hours,client_tw_start,client_tw_end,depot_tw_start,depot_tw_end,service_time_sec,pharmacies_count,vehicles_used,total_distance_km,total_time_sec,execution_time_sec,status,timestamp
05_02_01,5,2,25200,32400,18000,68400,60,25,1,45.9869,6781,20.72944211959839,OK,2025-09-15T15:55:07.470715
05_02_02,5,2,25200,32400,18000,68400,120,25,2,43.199200000000005,7708,21.97036385536194,OK,2025-09-15T15:55:29.452121
05_02_03,5,2,25200,32400,18000,68400,180,25,2,43.19920000000001,9088,20.67436695098877,OK,2025-09-15T15:55:50.141864
05_02_04,5,2,25200,32400,18000,68400,240,25,2,47.48790000000001,11079,20.55281710624695,OK,2025-09-15T15:56:10.702906
05_02_05,5,2,25200,32400,18000,68400,300,25,2,49.48909999999999,12616,20.577831268310547,OK,2025-09-15T15:56:31.289807
05_02_06,5,2,25200,32400,18000,68400,360,25,2,50.9167,14049,21.82561182975769,OK,2025-09-15T15:56:53.123705
05_02_07,5,2,25200,32400,18000,68400,420,25,3,46.551899999999996,14777,20.539012670516968,OK,2025-09-15T15:57:13.671309
05_02_08,5,2,25200,32400,18000,68400,480,25,3,46.55189999999999,16097,20.950773000717163,OK,2025-09-15T15:57:34.640221
05_02_09,5,2,25200,32400,18000,68400,540,25,3,49.17850000000001,17418,20.56270480155945,OK,2025-09-15T15:57:55.212126
05_02_10,5,2,25200,32400,18000,68400,600,25,3,49.476300000000016,18765,20.625153064727783,OK,2025-09-15T15:58:15.847343
05_03_01,5,3,25200,36000,18000,68400,60,25,1,45.9869,6781,21.265882968902588,OK,2025-09-15T15:58:37.121335
05_03_03,5,3,25200,36000,18000,68400,180,25,1,45.9869,9661,20.91532802581787,OK,2025-09-15T15:59:03.390614
05_03_04,5,3,25200,36000,18000,68400,240,25,1,46.4491,11102,20.6248140335083,OK,2025-09-15T15:59:24.024343
05_03_05,5,3,25200,36000,18000,68400,300,25,2,43.19920000000001,11848,20.61221694946289,OK,2025-09-15T15:59:44.644716
05_03_06,5,3,25200,36000,18000,68400,360,25,2,43.19920000000001,13228,20.544023990631104,OK,2025-09-15T16:00:05.197817
05_03_07,5,3,25200,36000,18000,68400,420,25,2,47.48790000000001,15219,25.106611251831055,OK,2025-09-15T16:00:30.314134
05_03_08,5,3,25200,36000,18000,68400,480,25,2,47.266400000000004,16565,20.874043941497803,OK,2025-09-15T16:00:51.197027
05_03_09,5,3,25200,36000,18000,68400,540,25,2,49.48909999999999,18136,20.53958821296692,OK,2025-09-15T16:01:11.748740
05_03_10,5,3,25200,36000,18000,68400,600,25,2,50.42230000000001,19557,20.591256141662598,OK,2025-09-15T16:01:32.348941
05_04_01,5,4,25200,39600,18000,68400,60,25,1,45.9869,6781,21.23857307434082,OK,2025-09-15T16:01:53.595064
05_04_02,5,4,25200,39600,18000,68400,120,25,1,45.9869,8221,20.580974102020264,OK,2025-09-15T16:02:14.182880
05_04_03,5,4,25200,39600,18000,68400,180,25,1,45.9869,9661,20.94678783416748,OK,2025-09-15T16:02:35.137006
05_04_04,5,4,25200,39600,18000,68400,240,25,1,45.9869,11101,20.847357273101807,OK,2025-09-15T16:02:55.991807
05_04_05,5,4,25200,39600,18000,68400,300,25,1,45.9869,12541,21.23778796195984,OK,2025-09-15T16:03:17.239028
05_04_06,5,4,25200,39600,18000,68400,360,25,1,45.9869,13981,23.78219699859619,OK,2025-09-15T16:03:41.030318
05_04_07,5,4,25200,39600,18000,68400,420,25,2,43.199200000000005,14608,22.122059106826782,OK,2025-09-15T16:04:03.160494
05_04_08,5,4,25200,39600,18000,68400,480,25,2,43.199200000000005,15988,20.57160711288452,OK,2025-09-15T16:04:23.741001
05_04_09,5,4,25200,39600,18000,68400,540,25,2,43.199200000000005,17368,20.60677409172058,OK,2025-09-15T16:04:44.355357
05_04_10,5,4,25200,39600,18000,68400,600,25,2,47.487800000000014,19359,20.581220149993896,OK,2025-09-15T16:05:04.944096
05_05_01,5,5,25200,43200,18000,68400,60,25,1,45.9869,6781,20.571368932724,OK,2025-09-15T16:05:25.522008
05_05_02,5,5,25200,43200,18000,68400,120,25,1,45.9869,8221,20.599879026412964,OK,2025-09-15T16:05:46.129138
05_05_03,5,5,25200,43200,18000,68400,180,25,1,45.9869,9661,20.498146057128906,OK,2025-09-15T16:06:06.634068
05_05_04,5,5,25200,43200,18000,68400,240,25,1,45.9869,11101,20.624288082122803,OK,2025-09-15T16:06:27.265708
05_05_05,5,5,25200,43200,18000,68400,300,25,1,45.9869,12541,20.581071138381958,OK,2025-09-15T16:06:47.853349
05_05_06,5,5,25200,43200,18000,68400,360,25,1,45.9869,13981,20.58450412750244,OK,2025-09-15T16:07:08.444572
05_05_07,5,5,25200,43200,18000,68400,420,25,1,45.9869,15421,20.551366806030273,OK,2025-09-15T16:07:29.003521
05_05_08,5,5,25200,43200,18000,68400,480,25,1,45.9869,16861,20.68172287940979,OK,2025-09-15T16:07:49.692277
05_05_09,5,5,25200,43200,18000,68400,540,25,1,46.4491,18302,20.628098964691162,OK,2025-09-15T16:08:10.327035
05_05_10,5,5,25200,43200,18000,68400,600,25,2,43.199200000000005,18748,20.628304958343506,OK,2025-09-15T16:08:30.963521
05_06_01,5,6,25200,46800,18000,68400,60,25,1,45.9869,6781,20.622325897216797,OK,2025-09-15T16:08:51.593006
